iter	Passed	Remaining
0	30	91171
1	60	91149
2	98	98014
3	135	101523
4	191	114465
5	246	122974
6	298	127659
7	329	123415
8	362	120357
9	426	127460
10	463	125856
11	518	129039
12	573	131864
13	608	129883
14	646	128674
15	697	130036
16	762	133844
17	823	136387
18	859	134866
19	927	138133
20	985	139755
21	1254	169776
22	1318	170671
23	1396	173200
24	1524	181406
25	1586	181502
26	1657	182468
27	1729	183581
28	1765	180923
29	1804	178636
30	1842	176439
31	1894	175676
32	1933	173836
33	2000	174494
34	2063	174801
35	2130	175449
36	2191	175534
37	2260	176207
38	2296	174369
39	2340	173203
40	2412	174096
41	2465	173642
42	2523	173529
43	2569	172617
44	2621	172134
45	2694	173054
46	2737	172012
47	2779	170927
48	2819	169789
49	2879	169915
50	2941	170113
51	2987	169385
52	3073	170875
53	3115	169945
54	3159	169168
55	3193	167912
56	3237	167179
57	3287	166738
58	3326	165826
59	3385	165899
60	3433	165426
61	3469	164392
62	3517	163965
63	3583	164377
64	3641	164405
65	3676	163457
66	3709	162399
67	3769	162522
68	3811	161888
69	3854	161344
70	3900	160891
71	3934	160014
72	3980	159583
73	4014	158729
74	4065	158561
75	4128	158839
76	4159	157909
77	4191	157011
78	4228	156358
79	4269	155828
80	4323	155805
81	4368	155457
82	4403	154751
83	4447	154375
84	4480	153665
85	4512	152885
86	4551	152407
87	4586	151780
88	4620	151134
89	4656	150564
90	4712	150660
91	4763	150583
92	4794	149864
93	4847	149866
94	4903	149955
95	4963	150139
96	4992	149407
97	5026	148856
98	5094	149279
99	5136	148967
100	5166	148286
101	5225	148466
102	5268	148193
103	5303	147686
104	5340	147231
105	5372	146691
106	5418	146505
107	5452	146008
108	5483	145435
109	5534	145394
110	5574	145091
111	5607	144587
112	5637	144032
113	5674	143649
114	5705	143132
115	5769	143451
116	5811	143211
117	5854	142982
118	5909	143057
119	5951	142838
120	5988	142479
121	6027	142199
122	6098	142645
123	6136	142321
124	6167	141858
125	6235	142222
126	6291	142323
127	6343	142343
128	6374	141876
129	6411	141536
130	6442	141086
131	6484	140900
132	6546	141120
133	6585	140857
134	6649	141114
135	6688	140857
136	6749	141055
137	6786	140738
138	6819	140360
139	6857	140080
140	6907	140070
141	6941	139713
142	6995	139756
143	7049	139812
144	7081	139435
145	7120	139199
146	7154	138850
147	7199	138743
148	7258	138877
149	7314	138977
150	7348	138644
151	7403	138723
152	7443	138516
153	7479	138230
154	7543	138454
155	7575	138111
156	7609	137785
157	7643	137478
158	7675	137149
159	7704	136746
160	7733	136373
161	7762	135988
162	7803	135827
163	7837	135526
164	7875	135311
165	7930	135387
166	7975	135291
167	8009	135017
168	8097	135642
169	8133	135402
170	8197	135625
171	8232	135360
172	8263	135035
173	8297	134755
174	8336	134571
175	8378	134434
176	8430	134460
177	8467	134240
178	8516	134211
179	8550	133953
180	8593	133839
181	8623	133524
182	8678	133597
183	8707	133267
184	8751	133161
185	8820	133447
186	8853	133185
187	8884	132885
188	8914	132578
189	8950	132374
190	9021	132678
191	9069	132645
192	9098	132330
193	9137	132170
194	9170	131918
195	9231	132073
196	9273	131950
197	9306	131702
198	9341	131478
199	9368	131155
200	9403	130942
201	9438	130738
202	9478	130601
203	9518	130454
204	9548	130191
205	9590	130079
206	9622	129829
207	9677	129895
208	9738	130045
209	9771	129826
210	9829	129921
211	9871	129820
212	9920	129804
213	9956	129620
214	10015	129737
215	10048	129512
216	10106	129612
217	10158	129641
218	10196	129477
219	10270	129784
220	10335	129963
221	10378	129874
222	10420	129764
223	10452	129538
224	10500	129508
225	10561	129633
226	10607	129585
227	10679	129835
228	10738	129942
229	10779	129820
230	10822	129725
231	10895	129994
232	10949	130036
233	11011	130163
234	11044	129945
235	11100	130008
236	11139	129870
237	11190	129869
238	11256	130039
239	11311	130082
240	11382	130305
241	11414	130091
242	11446	129866
243	11520	130120
244	11583	130258
245	11636	130273
246	11669	130069
247	11728	130146
248	11769	130026
249	11799	129797
250	11834	129613
251	11865	129385
252	11899	129205
253	11935	129035
254	11975	128911
255	12040	129055
256	12119	129352
257	12184	129495
258	12222	129352
259	12257	129171
260	12291	128990
261	12366	129237
262	12430	129357
263	12473	129267
264	12517	129188
265	12553	129030
266	12585	128829
267	12616	128612
268	12648	128416
269	12679	128206
270	12720	128092
271	12750	127879
272	12779	127653
273	12815	127504
274	12851	127343
275	12886	127187
276	12951	127320
277	13014	127430
278	13060	127374
279	13117	127429
280	13149	127238
281	13193	127161
282	13251	127228
283	13299	127190
284	13329	126983
285	13384	127012
286	13414	126806
287	13470	126846
288	13505	126689
289	13536	126491
290	13586	126484
291	13643	126528
292	13703	126605
293	13738	126450
294	13783	126386
295	13818	126237
296	13882	126346
297	13940	126401
298	13970	126203
299	14007	126063
300	14058	126055
301	14107	126030
302	14163	126070
303	14212	126041
304	14242	125844
305	14283	125753
306	14340	125798
307	14371	125606
308	14410	125498
309	14466	125533
310	14500	125371
311	14544	125303
312	14580	125172
313	14610	124983
314	14673	125077
315	14707	124916
316	14735	124713
317	14765	124532
318	14797	124363
319	14857	124433
320	14892	124291
321	14940	124260
322	14974	124109
323	15010	123978
324	15047	123854
325	15089	123771
326	15139	123751
327	15189	123740
328	15239	123720
329	15268	123537
330	15300	123376
331	15336	123243
332	15395	123306
333	15429	123157
334	15469	123063
335	15528	123116
336	15569	123030
337	15601	122871
338	15639	122759
339	15696	122804
340	15737	122718
341	15790	122721
342	15844	122734
343	15901	122773
344	15939	122662
345	15998	122720
346	16061	122795
347	16122	122867
348	16190	122979
349	16253	123059
350	16315	123131
351	16347	122977
352	16395	122942
353	16433	122832
354	16468	122702
355	16502	122564
356	16562	122621
357	16593	122458
358	16658	122546
359	16685	122360
360	16714	122184
361	16773	122233
362	16822	122206
363	16881	122251
364	16917	122127
365	16947	121967
366	17003	121989
367	17055	121980
368	17110	121999
369	17171	122058
370	17205	121921
371	17250	121863
372	17311	121922
373	17352	121839
374	17412	121884
375	17464	121876
376	17502	121774
377	17533	121623
378	17561	121448
379	17602	121366
380	17674	121492
381	17726	121483
382	17782	121508
383	17825	121439
384	17895	121552
385	17931	121432
386	17962	121282
387	18039	121442
388	18075	121323
389	18156	121505
390	18212	121527
391	18277	121598
392	18312	121476
393	18349	121367
394	18384	121243
395	18446	121300
396	18497	121281
397	18557	121325
398	18624	121407
399	18663	121309
400	18729	121394
401	18762	121256
402	18794	121115
403	18854	121155
404	18887	121021
405	18942	121026
406	18986	120961
407	19017	120817
408	19048	120672
409	19080	120530
410	19137	120553
411	19192	120556
412	19251	120591
413	19281	120438
414	19329	120404
415	19389	120436
416	19425	120325
417	19455	120179
418	19487	120043
419	19525	119944
420	19583	119968
421	19616	119834
422	19676	119870
423	19705	119719
424	19735	119574
425	19794	119601
426	19854	119637
427	19883	119488
428	19933	119461
429	19996	119512
430	20026	119370
431	20068	119294
432	20108	119211
433	20166	119233
434	20195	119085
435	20231	118973
436	20262	118839
437	20312	118815
438	20354	118742
439	20392	118646
440	20425	118521
441	20465	118439
442	20501	118333
443	20555	118335
444	20608	118326
445	20659	118305
446	20720	118344
447	20784	118394
448	20822	118303
449	20883	118337
450	20912	118196
451	20950	118100
452	20987	117999
453	21045	118023
454	21081	117919
455	21142	117954
456	21179	117855
457	21208	117713
458	21258	117684
